,0
1,438098
2,205651
3,226597
4,219847
5,463748
6,445122
7,85955
8,440854
9,444145
10,200641
11,205533
12,499175
13,184029
14,225321
15,154561
16,204480
17,223340
18,462424
19,209289
20,167199
21,192895
22,223723
23,116216
24,198869
25,206325
26,106468
27,433979
28,215711
29,88894
30,491287
31,195546
32,199796
33,151589
34,243557
35,165659
36,101188
37,461421
38,476344
39,462492
40,123354
41,469247
42,226944
43,465390
44,199798
45,441302
46,462381
47,98980
48,122806
49,149484
50,578545
51,111782
52,244954
53,232653
54,244850
55,248164
56,514315
57,166989
58,178301
59,232980
60,200785
61,444180
62,111317
63,158499
64,155408
65,168636
66,441240
67,424044
68,463981
69,523700
70,544877
71,222683
72,223911
73,69752
74,533463
75,495145
76,168991
77,503139
78,437730
79,221466
80,224995
81,54469
82,154566
83,201658
84,229600
85,477580
86,191866
87,494041
88,432830
89,440089
90,183656
91,118342
92,194010
93,472713
94,204580
95,207283
96,570241
97,628204
98,249231
99,446008
100,51927
101,128295
102,428580
103,450539
104,231065
105,226956
106,513418
107,502500
108,144485
109,507433
110,216646
111,508395
112,48760
113,535818
114,475480
115,535301
116,543158
117,536916
118,519324
119,168090
120,83299
121,474120
122,204214
123,487117
124,243568
125,60307
126,532529
127,612855
128,223434
129,475168
130,484658
131,232792
132,109345
133,550141
134,15157
135,592031
136,451340
137,243505
138,574402
139,445548
140,491598
141,441192
142,49262
143,450434
144,469142
145,111478
146,489639
147,110735
148,50175
149,467779
150,532605
151,518620
152,109745
153,242880
154,482158
155,122074
156,440323
157,486672
158,505187
159,180736
160,172850
161,478912
162,460028
163,179268
164,520295
165,617054
166,215413
167,220362
168,448047
169,232787
170,514280
171,482609
172,225796
173,549068
174,514356
175,66749
176,204727
177,248857
178,499309
179,465920
180,517052
181,213198
182,244851
183,457569
184,551230
185,215059
186,103955
187,109646
188,503714
189,444463
190,466117
191,174874
192,80146
193,438464
194,427623
195,515621
196,57328
197,450535
198,199670
199,232413
200,209036
201,172649
202,156074
203,108413
204,101982
205,209400
206,152551
207,231747
208,536694
209,169593
210,244723
211,247348
212,531989
213,450542
214,86417
215,55494
216,496221
217,121599
218,486385
219,480455
220,177815
221,59949
222,80801
223,232928
224,221399
225,194164
226,490094
227,222627
228,106611
229,115382
230,433154
231,224967
232,440993
233,449871
234,243571
235,111234
236,17761
237,491012
238,18892
239,159533
240,156689
241,232892
242,428971
243,76357
244,166477
245,219924
246,515024
247,153133
248,80201
249,212314
250,120721
251,244042
252,102057
253,82514
254,153366
255,169528
256,490146
257,167074
258,245824
259,153682
260,462387
261,517178
262,173818
263,122411
264,149929
265,196411
266,232228
267,455084
268,463034
269,214964
270,449429
271,167191
272,222625
273,524180
274,503301
275,222018
276,94926
277,106606
278,74944
279,246265
280,434044
281,231899
282,180804
283,108813
284,220583
285,225902
286,461416
287,197469
288,94147
289,245419
290,96994
291,218218
292,549640
293,467189
294,207270
295,220627
296,481510
297,461584
298,154048
299,461587
300,203341
301,473341
302,111931
303,194190
304,436680
305,244619
306,101668
307,93100
308,95463
309,157668
310,116535
311,169187
312,535928
313,492777
314,244858
315,491970
316,447203
317,194634
318,496208
319,444884
320,158983
321,243298
322,171287
323,441266
324,206915
325,200720
326,204716
327,244731
328,118748
329,243016
330,491501
331,440148
332,197464
333,441428
334,219937
335,122798
336,424876
337,214285
338,444765
339,97032
340,211975
341,126184
342,165809
343,477555
344,17601
345,61366
346,248875
347,121160
348,209244
349,114283
350,477424
351,223094
352,461358
353,121145
354,91651
355,477064
356,465351
357,432714
358,88248
359,155405
360,220566
361,171314
362,97299
363,58621
364,493250
365,467169
366,141746
367,451302
368,61256
369,216051
370,80607
371,37642
372,493105
373,465527
374,21205
375,497894
376,184667
377,95658
378,516895
379,222690
380,221820
381,195851
382,184341
383,202641
384,488404
385,176297
386,209243
387,106760
388,214590
389,458249
390,545477
391,179018
392,201666
393,220237
394,208706
395,78916
396,67089
397,90105
398,232826
399,487838
400,153127
401,219168
402,114243
403,180974
404,235530
405,111773
406,564510
407,101148
408,194799
409,441191
410,180135
411,547719
412,111452
413,98747
414,19236
415,119471
416,169359
417,432422
418,77794
419,461484
420,200089
421,75115
422,159506
423,215379
424,210156
425,90585
426,245830
427,475123
428,569014
429,513046
430,230251
431,250199
432,449434
433,222531
434,209046
435,244930
436,575476
437,215136
438,204822
439,243345
440,466404
441,209035
442,210462
443,85633
444,114241
445,224068
446,201440
447,60689
448,208912
449,204968
450,502697
451,499724
452,193204
453,155511
454,456350
455,171771
456,477386
457,184386
458,463210
459,490503
460,500926
461,245719
462,504783
463,39155
464,515571
465,200428
466,167888
467,204863
468,476888
469,58376
470,147611
471,214466
472,88900
473,230348
474,219279
475,103914
476,158534
477,244845
478,548308
479,214572
480,202993
481,570526
482,227127
483,436234
484,115556
485,496179
486,493125
487,241157
488,40383
489,547701
490,132015
491,242898
492,445044
493,200826
494,172780
495,441164
496,199249
497,212319
498,221632
499,482442
500,490145
501,209042
502,235674
503,85971
504,232859
505,487053
506,491279
507,536908
508,184254
509,165153
510,175941
511,213999
512,57531
513,84182
514,178186
515,149519
516,164555
517,55459
518,220585
519,490885
520,109533
521,37096
522,82143
523,84939
524,214048
525,460842
526,577114
527,224024
528,233963
529,210494
530,215439
531,101178
532,103192
533,448514
534,476502
535,231057
536,79602
537,510363
538,497606
539,589507
540,245923
541,430871
542,60232
543,87835
544,220394
545,449988
546,531363
547,593001
548,181284
549,490721
550,184754
551,240299
552,441271
553,448089
554,149065
555,429414
556,138001
557,151086
558,501837
559,200402
560,247632
561,641221
562,200600
563,483081
564,231480
565,88484
566,247412
567,510362
568,232917
569,481624
570,531442
571,510281
572,550864
573,578512
574,227444
575,488464
576,229384
577,463903
578,466075
579,184349
580,554605
581,508479
582,512462
583,108053
584,204814
585,232185
586,246301
587,450070
588,197024
589,91889
590,538207
591,462116
592,436893
593,209365
594,230001
595,499169
596,515597
597,444172
598,591357
599,513433
600,509416
601,513834
602,609873
603,577725
604,573062
605,532534
606,472769
607,510500
608,496661
609,552427
610,499721
611,172453
612,550839
613,490881
614,472739
615,491557
616,501770
617,444102
618,463067
619,454667
620,502222
621,428399
622,207189
623,551226
624,40349
625,59859
626,496178
627,476369
628,231416
629,219249
630,216616
631,443261
632,229164
633,195384
634,626464
635,513527
636,223541
637,560248
638,498046
639,551221
640,514287
641,516159
642,518438
643,509291
644,574398
645,489706
646,579075
647,530318
648,575034
649,499717
650,437499
651,179519
652,232112
653,485047
654,224860
655,463212
656,537403
657,588793
658,606745
659,588796
660,592662
661,432987
662,499167
663,447720
664,517179
665,461025
666,590012
667,547037
668,565858
669,464353
670,577974
671,516250
672,554194
673,556639
674,220695
675,576980
676,547801
677,447880
678,536109
679,577731
680,496683
681,539721
682,499726
683,611920
684,596054
685,589100
686,606775
687,602903
688,591385
689,591386
690,611917
691,611926
692,576637
693,545508
694,531997
695,547692
696,550615
697,577016
698,487837
699,519321
700,592736
701,518442
702,632822
703,494307
704,613120
705,622536
706,606774
707,532535
708,500058
709,549067
710,559962
711,613467
712,541462
713,575901
714,514254
715,198826
716,500016
717,485055
718,623095
719,620408
720,516939
721,20066
722,590760
723,550596
724,536241
725,204646
726,488439
727,568791
728,530121
729,574799
730,606921
731,606798
732,578153
733,616222
734,494779
735,438234
736,616059
737,607464
738,567121
739,535017
740,588555
741,501620
742,174292
743,439135
744,112520
745,465694
746,596777
747,135720
748,511499
749,531170
750,433312
751,609640
752,47431
753,496279
754,622758
755,504296
756,596047
757,547676
758,559684
759,618873
760,533710
761,567119
762,536238
763,439483
764,647671
765,575204
766,612534
767,591382
768,461537
769,599303
770,538182
771,547720
772,649208
773,514307
774,604988
775,597320
776,619146
777,630664
778,495024
779,547693
780,592712
781,563324
782,474907
783,519223
784,494551
