,0
1,Fábio Ferreira Vieira
2,Gabriel Fernando de Jesus
3,Gabriel dos Santos Magalhães
4,Kai Havertz
5,Karl Hein
6,Jurriën Timber
7,Jorge Luiz Frello Filho
8,Jakub Kiwior
9,Gabriel Martinelli Silva
10,Reiss Nelson
11,Eddie Nketiah
12,Ethan Nwaneri
13,Martin Ødegaard
14,Aaron Ramsdale
15,David Raya Martín
16,Declan Rice
17,Bukayo Saka
18,William Saliba
19,Emile Smith Rowe
20,Thomas Partey
21,Kieran Tierney
22,Tomiyasu Takehiro
23,Leandro Trossard
24,Benjamin White
25,Oleksandr Zinchenko
26,Álex Moreno Lopera
27,Cameron Archer
28,Leon Bailey
29,Ross Barkley
30,Enzo Barrenechea
31,Emiliano Buendía Stati
32,Matty Cash
33,Leander Dendoncker
34,Moussa Diaby
35,Diego Carlos Santos Silva
36,Lucas Digne
37,Lewis Dobbin
38,Jhon Durán
39,Joe Gauci
40,Kortney Hause
41,Samuel Iling-Junior
42,Boubacar Kamara
43,Kaine Kesler-Hayden
44,Ezri Konsa Ngoyo
45,Ian Maatsen
46,Filip Marschall
47,Emiliano Martínez Romero
48,John McGinn
49,Tyrone Mings
50,Kosta Nedeljković
51,Robin Olsen
52,Pau Torres
53,Jacob Ramsey
54,Morgan Rogers
55,Viljami Sinisalo
56,Lino da Cruz Sousa
57,Youri Tielemans
58,Ollie Watkins
59,Max Aarons
60,Tyler Adams
61,Jaidon Anthony
62,David Brooks
63,Ryan Christie
64,Lewis Cook
65,Enes Ünal
66,Romain Faivre
67,Hamed Traorè
68,James Hill
69,Daniel Jebbison
70,Milos Kerkez
71,Justin Kluivert
72,Chris Mepham
73,Norberto Murara Neto
74,Dango Ouattara
75,Alex Paulsen
76,Philip Billing
77,Alex Scott
78,Antoine Semenyo
79,Marcos Senesi Barón
80,Luis Sinisterra Lucumí
81,Adam Smith
82,Dominic Solanke-Mitchell
83,Marcus Tavernier
84,Mark Travers
85,Illia Zabarnyi
86,Kristoffer Ajer
87,Ethan Brierley
88,Nathan Collins
89,Mikkel Damsgaard
90,Josh Dasilva
91,Mark Flekken
92,Rico Henry
93,Aaron Hickey
