,0
1,Fábio Vieira (ARS)
2,G.Jesus (ARS)
3,Gabriel (ARS)
4,Havertz (ARS)
5,Hein (ARS)
6,J.Timber (ARS)
7,Jorginho (ARS)
8,Kiwior (ARS)
9,Martinelli (ARS)
10,Nelson (ARS)
11,Nketiah (EVE)
12,Nwaneri (ARS)
13,Ødegaard (ARS)
14,Ramsdale (SOU)
15,Raya (ARS)
16,Rice (ARS)
17,Saka (ARS)
18,Saliba (ARS)
19,Smith Rowe (IPS)
20,Thomas (ARS)
21,Tierney (ARS)
22,Tomiyasu (ARS)
23,Trossard (ARS)
24,White (ARS)
25,Zinchenko (ARS)
26,Alex Moreno (AVL)
27,Archer (SOU)
28,Bailey (AVL)
29,Barkley (AVL)
30,Barrenechea (AVL)
31,Buendía (AVL)
32,Cash (AVL)
33,Dendoncker (AVL)
34,Diaby (AVL)
35,Diego Carlos (AVL)
36,Digne (AVL)
37,Dobbin (AVL)
38,Duran (AVL)
39,Gauci (AVL)
40,Hause (AVL)
41,Iling Jr (AVL)
42,Kamara (AVL)
43,Kesler-Hayden (AVL)
44,Konsa (AVL)
45,Maatsen (AVL)
46,Marschall (AVL)
47,Martinez (AVL)
48,McGinn (AVL)
49,Mings (AVL)
50,Nedeljkovic (AVL)
51,Olsen (AVL)
52,Pau (AVL)
53,J.Ramsey (AVL)
54,Rogers (AVL)
55,Sinisalo (AVL)
56,Sousa (AVL)
57,Tielemans (AVL)
58,Watkins (AVL)
59,Aarons (BOU)
60,Adams (BRE)
61,Anthony (BOU)
62,Brooks (BRE)
63,Christie (BRE)
64,Cook (BRE)
65,Enes Ünal (BRE)
66,Faivre (BRE)
67,H.Traorè (BRE)
68,Hill (BRE)
69,Jebbison (BOU)
70,Kerkez (LIV)
71,Kluivert (BRE)
72,Mepham (BRE)
73,Neto (BRE)
74,O.Dango (BRE)
75,Paulsen (BRE)
76,Philip (BRE)
77,Scott (BRE)
78,Semenyo (BRE)
79,Senesi (BRE)
80,Sinisterra (BRE)
81,Smith (BRE)
82,Solanke (TOT)
83,Tavernier (BRE)
84,Travers (FUL)
85,Zabarnyi (BRE)
86,Ajer (BHA)
87,Brierley (BRE)
88,Collins (BHA)
89,Damsgaard (BHA)
90,Dasilva (BRE)
91,Flekken (BRE)
92,Henry (BHA)
93,Hickey (BHA)
94,Janelt (BHA)
95,Jensen (BHA)
96,Ji-soo (BHA)
97,Konak (BHA)
98,Lewis-Potter (BHA)
99,Mbeumo (MUN)
100,Mee (BRE)
101,Nørgaard (ARS)
102,Onyeka (BHA)
103,Peart-Harris (BHA)
104,Pinnock (BHA)
105,Roerslev (BHA)
106,Schade (BHA)
107,Thiago (BHA)
108,Toney (BRE)
109,Valdimarsson (BHA)
110,Wissa (BHA)
111,Yarmoliuk (BHA)
112,Zanka (BRE)
113,Adingra (SOU)
114,Baker-Boaitey (BHA)
115,Baleba (CHE)
116,Barco (BHA)
117,Buonanotte (CHE)
118,Cozier-Duberry (BHA)
119,Dahoud (BHA)
120,Dunk (CHE)
121,Enciso (CHE)
122,Estupiñan (CHE)
123,Ferguson (CHE)
124,Gilmour (BHA)
125,Gross (BHA)
126,Hinshelwood (CHE)
127,I.Osman (BHA)
128,Igor (CHE)
129,João Pedro (CRY)
130,Kozlowski (BHA)
131,Lamptey (CHE)
132,March (CHE)
133,Mazilu (CHE)
134,Milner (CHE)
135,Minteh (CHE)
136,Mitoma (CHE)
137,Moder (BHA)
138,O’Mahony (BHA)
139,Offiah (BHA)
140,Peupion (BHA)
141,Sarmiento (CHE)
142,Steele (CHE)
143,Undav (BHA)
144,Van Hecke (CHE)
145,Veltman (CHE)
146,Verbruggen (CHE)
147,Webster (CHE)
148,Welbeck (CHE)
149,Wieffer (CHE)
150,Andrey Santos (CRY)
151,Ângelo (CHE)
152,Arrizabalaga (ARS)
153,B.Badiashile (CRY)
154,Bergström (CHE)
155,Bettinelli (MCI)
156,Broja (EVE)
157,Caicedo (CRY)
158,Casadei (CHE)
159,Chalobah (CRY)
160,Chilwell (CRY)
161,Chukwuemeka (CHE)
162,Colwill (CRY)
163,Cucurella (CRY)
164,D.D.Fofana (CHE)
165,Deivid (CHE)
166,Dewsbury-Hall (CRY)
167,Disasi (AVL)
168,Enzo (CRY)
169,Gallagher (CHE)
170,Gilchrist (CHE)
171,Gusto (CRY)
172,James (CRY)
173,Kellyman (CHE)
174,Lavia (CRY)
175,Lukaku (CHE)
176,M.Sarr (CHE)
177,Madueke (ARS)
178,Marc Guiu (CRY)
179,Mudryk (CRY)
180,N.Jackson (CRY)
181,Nkunku (CRY)
182,Palmer (CRY)
183,Petrović (BRE)
184,Renato Veiga (CHE)
185,Sánchez (CRY)
186,Sterling (ARS)
187,Tosin (CRY)
188,Ugochukwu (SOU)
189,Fofana (CRY)
190,Ahamada (EVE)
191,Andersen (IPS)
192,J.Ayew (LEI)
193,Doucouré (EVE)
194,Richards (EVE)
195,Chadi Riad (EVE)
196,Clyne (EVE)
197,Ebiowei (EVE)
198,Édouard (EVE)
199,Eze (EVE)
200,Guéhi (EVE)
201,Henderson (EVE)
202,Holding (EVE)
203,Hughes (EVE)
204,Johnstone (WOL)
205,Kamada (EVE)
206,Lerma (EVE)
207,Mateta (EVE)
208,M.França (EVE)
209,Matthews (EVE)
210,Mitchell (EVE)
211,Muñoz (EVE)
212,Ozoh (EVE)
213,J.Rak-Sakyi (EVE)
214,Schlupp (CRY)
215,Ward (CRY)
216,Wharton (EVE)
217,A.Doucoure (EVE)
218,Beto (FUL)
219,Branthwaite (FUL)
220,Calvert-Lewin (EVE)
221,Coleman (FUL)
222,Gana (FUL)
223,Garner (FUL)
224,Harrison (LEI)
225,Holgate (EVE)
226,Iroegbunam (FUL)
227,J.Virginia (EVE)
228,Keane (FUL)
229,Maupay (EVE)
230,McNeil (FUL)
231,Mykolenko (FUL)
232,Ndiaye (FUL)
233,Onana (AVL)
234,Patterson (FUL)
235,Pickford (FUL)
236,Tarkowski (FUL)
237,Y.Chermiti (FUL)
238,Young (EVE)
239,Adama (IPS)
240,Andreas (IPS)
241,Bassey (IPS)
242,Benda (IPS)
243,Cairney (IPS)
244,Castagne (IPS)
245,Diop (IPS)
246,Harris (IPS)
247,Iwobi (IPS)
248,Leno (IPS)
249,Lukić (IPS)
250,Mbabu (FUL)
251,Muniz (IPS)
252,Raúl (IPS)
253,Ream (FUL)
254,Reed (IPS)
255,Robinson (IPS)
256,Stansfield (FUL)
257,Tete (IPS)
258,Vinicius (FUL)
259,Wilson (IPS)
260,Al-Hamadi (IPS)
261,Baggott (IPS)
262,Broadhead (IPS)
263,Burgess (IPS)
264,Burns (IPS)
265,Chaplin (IPS)
266,H.Clarke (IPS)
267,Davis (IPS)
268,Delap (CRY)
269,Edmundson (IPS)
270,Greaves (IPS)
271,Harness (IPS)
272,Hirst (IPS)
273,Humphreys (IPS)
274,Hutchinson (IPS)
275,Johnson (IPS)
276,Ladapo (IPS)
277,Luongo (IPS)
278,Morsy (IPS)
279,Ndaba (IPS)
280,Slicker (IPS)
281,Taylor (IPS)
282,Tuanzebe (BOU)
283,Walton (IPS)
284,Woolfenden (IPS)
285,B.Soumaré (LEI)
286,Cannon (LEI)
287,Choudhury (LEI)
288,Coady (LEI)
289,Daka (LEI)
290,De Cordova-Reid (LEI)
291,Faes (LEI)
292,Golding (LEI)
293,Hermansen (LEI)
294,Iversen (LEI)
295,Justin (LEI)
296,Kristiansen (LEI)
297,Marcal (LEI)
298,Mavididi (LEI)
299,McAteer (LEI)
300,Ndidi (LEI)
301,Okoli (LEI)
302,Ricardo (LEI)
303,Souttar (LEI)
304,Stolarczyk (LEI)
305,Thomas (LEI)
306,Vardy (LEI)
307,Vestergaard (LEI)
308,Ward (LEI)
309,Winks (LEI)
310,A.Becker (LIV)
311,Alexander-Arnold (LIV)
312,Bajcetic (LIV)
313,Bradley (LIV)
314,Carvalho (BHA)
315,Clark (LIV)
316,Darwin (LIV)
317,Diogo J. (LIV)
318,Doak (LIV)
319,Elliott (LIV)
320,Endo (LIV)
321,Gakpo (LIV)
322,Gomez (LIV)
323,Gravenberch (LIV)
324,C.Jones (LIV)
325,Kelleher (BHA)
326,Konaté (LIV)
327,Luis Díaz (LIV)
328,M.Salah (LIV)
329,Mac Allister (LIV)
330,McConnell (LIV)
331,Morton (LIV)
332,N.Phillips (LIV)
333,Quansah (LIV)
334,R.Williams (LIV)
335,Robertson (LIV)
336,Szoboszlai (LIV)
337,Tsimikas (LIV)
338,Van den Berg (BHA)
339,Virgil (LIV)
340,Akanji (MCI)
341,Aké (MCI)
342,Bernardo (MCI)
343,Bobb (MCI)
344,Carson (MCI)
345,De Bruyne (MCI)
346,Doku (MCI)
347,Ederson M. (MCI)
348,Foden (MCI)
349,Grealish (MCI)
350,Gvardiol (MCI)
351,Haaland (MCI)
352,J.Alvarez (MCI)
353,João Cancelo (MCI)
354,Kovačić (MCI)
355,Lewis (MCI)
356,Matheus N. (MCI)
357,McAtee (MCI)
358,Ortega Moreno (MCI)
359,Phillips (MCI)
360,Rodrigo (MCI)
361,Rúben (MCI)
362,Stones (MCI)
363,Walker (BOU)
364,Amad (MUN)
365,Antony (MUN)
366,B.Fernandes (MUN)
367,Bayindir (MUN)
368,Casemiro (MUN)
369,Dalot (MUN)
370,Eriksen (MUN)
371,Evans (MUN)
372,Garnacho (MUN)
373,Hannibal (BOU)
374,Heaton (MUN)
375,Højlund (MUN)
376,Lindelof (MUN)
377,Maguire (MUN)
378,Mainoo (MUN)
379,Malacia (MUN)
380,Martinez (MUN)
381,McTominay (MUN)
382,Mount (MUN)
383,Onana (MUN)
384,Pellistri (MUN)
385,Rashford (MUN)
386,Sancho (MUN)
387,Shaw (MUN)
388,Wan-Bissaka (WHU)
389,Zirkzee (MUN)
390,A.Murphy (NEW)
391,Almirón (NEW)
392,Barnes (NEW)
393,Botman (NEW)
394,Bruno G. (NEW)
395,Burn (NEW)
396,Dúbravka (NEW)
397,Fraser (SOU)
398,Gordon (NEW)
399,Hall (NEW)
400,Hayden (NEW)
401,Isak (NEW)
402,J.Murphy (NEW)
403,Joelinton (NEW)
404,Kelly (NEW)
405,Krafth (NEW)
406,Kuol (NEW)
407,Lascelles (NEW)
408,Lewis (NEW)
409,Livramento (NEW)
410,Longstaff (LEI)
411,L.Miley (NEW)
412,Odysseas (NEW)
413,Pope (NEW)
414,Ruddy (NEW)
415,Schär (NEW)
416,Targett (NEW)
417,Tonali (NEW)
418,Trippier (NEW)
419,White (NEW)
420,Willock (NEW)
421,Wilson (NEW)
422,Aina (NFO)
423,Anderson (NFO)
424,Awoniyi (NFO)
425,Boly (NFO)
426,Bowler (NFO)
