,0
1,MID
2,FWD
3,DEF
4,FWD
5,GKP
6,DEF
7,MID
8,DEF
9,MID
10,MID
11,FWD
12,MID
13,MID
14,GKP
15,GKP
16,MID
17,MID
18,DEF
19,MID
20,MID
21,DEF
22,DEF
23,MID
24,DEF
25,DEF
26,DEF
27,FWD
28,MID
29,MID
30,MID
31,MID
32,DEF
33,MID
34,MID
35,DEF
36,DEF
37,MID
38,FWD
39,GKP
40,DEF
41,MID
42,MID
43,DEF
44,DEF
45,DEF
46,GKP
47,GKP
48,MID
49,DEF
50,DEF
51,GKP
52,DEF
53,MID
54,MID
55,GKP
56,DEF
57,MID
58,FWD
59,DEF
60,MID
61,MID
62,MID
63,MID
64,MID
65,FWD
66,MID
67,MID
68,DEF
69,FWD
70,DEF
71,MID
72,DEF
73,GKP
74,MID
75,GKP
76,MID
77,MID
78,MID
79,DEF
80,MID
81,DEF
82,FWD
83,MID
84,GKP
85,DEF
86,DEF
87,MID
88,DEF
89,MID
90,MID
91,GKP
92,DEF
93,DEF
94,MID
95,MID
96,DEF
97,MID
98,MID
99,MID
100,DEF
101,MID
102,MID
103,MID
104,DEF
105,DEF
106,MID
107,FWD
108,FWD
109,GKP
110,FWD
111,MID
112,DEF
113,MID
114,MID
115,MID
116,DEF
117,MID
118,MID
119,MID
120,DEF
121,MID
122,DEF
123,FWD
124,MID
125,MID
126,MID
127,MID
128,DEF
129,FWD
130,MID
131,DEF
132,MID
133,MID
134,MID
135,MID
136,MID
137,MID
138,FWD
139,DEF
140,MID
141,MID
142,GKP
143,FWD
144,DEF
145,DEF
146,GKP
147,DEF
148,FWD
149,MID
150,MID
151,MID
152,GKP
153,DEF
154,GKP
155,GKP
156,FWD
157,MID
158,MID
159,DEF
160,DEF
161,MID
162,DEF
163,DEF
164,FWD
165,FWD
166,MID
167,DEF
168,MID
169,MID
170,DEF
171,DEF
172,DEF
173,MID
174,MID
175,FWD
176,DEF
177,MID
178,FWD
179,MID
180,FWD
181,MID
182,MID
183,GKP
184,MID
185,GKP
186,MID
187,DEF
188,MID
189,DEF
190,MID
191,DEF
192,MID
193,MID
194,DEF
195,DEF
196,DEF
197,MID
198,FWD
199,MID
200,DEF
201,GKP
202,DEF
203,MID
204,GKP
205,MID
206,MID
207,FWD
208,MID
209,GKP
210,DEF
211,DEF
212,MID
213,MID
214,MID
215,DEF
216,MID
217,MID
218,FWD
219,DEF
220,FWD
221,DEF
222,MID
223,MID
224,MID
225,DEF
226,MID
227,GKP
228,DEF
229,FWD
230,MID
231,DEF
232,FWD
233,MID
234,DEF
235,GKP
236,DEF
237,FWD
238,DEF
239,MID
240,MID
241,DEF
242,GKP
243,MID
244,DEF
245,DEF
246,MID
247,MID
248,GKP
249,MID
250,DEF
251,FWD
252,FWD
253,DEF
254,MID
255,DEF
256,FWD
257,DEF
258,FWD
259,MID
260,FWD
261,DEF
262,MID
263,DEF
264,MID
265,MID
266,DEF
267,DEF
268,FWD
269,DEF
270,DEF
271,MID
272,FWD
273,MID
274,MID
275,DEF
276,FWD
277,MID
278,MID
279,DEF
280,GKP
281,MID
282,DEF
283,GKP
284,DEF
285,MID
286,FWD
287,MID
288,DEF
289,FWD
290,MID
291,DEF
292,MID
293,GKP
294,GKP
295,DEF
296,DEF
297,MID
298,MID
299,MID
300,MID
301,DEF
302,DEF
303,DEF
304,GKP
305,DEF
306,FWD
307,DEF
308,GKP
309,MID
310,GKP
311,DEF
312,MID
313,DEF
314,MID
315,MID
316,FWD
317,MID
318,MID
319,MID
320,MID
321,FWD
322,DEF
323,MID
324,MID
325,GKP
326,DEF
327,MID
328,MID
329,MID
330,MID
331,MID
332,DEF
333,DEF
334,DEF
335,DEF
336,MID
337,DEF
338,DEF
339,DEF
340,DEF
341,DEF
342,MID
343,MID
344,GKP
345,MID
346,MID
347,GKP
348,MID
349,MID
350,DEF
351,FWD
352,FWD
353,DEF
354,MID
355,DEF
356,MID
357,MID
358,GKP
359,MID
360,MID
361,DEF
362,DEF
363,DEF
364,MID
365,MID
366,MID
367,GKP
368,MID
369,DEF
370,MID
371,DEF
372,MID
373,MID
374,GKP
375,FWD
376,DEF
377,DEF
378,MID
379,DEF
380,DEF
381,MID
382,MID
383,GKP
384,MID
385,MID
386,MID
387,DEF
388,DEF
389,FWD
390,DEF
391,MID
392,MID
393,DEF
394,MID
395,DEF
396,GKP
397,MID
398,MID
399,DEF
400,MID
401,FWD
402,MID
403,MID
404,DEF
405,DEF
406,MID
407,DEF
408,DEF
409,DEF
410,MID
411,MID
412,GKP
413,GKP
414,GKP
415,DEF
416,DEF
417,MID
418,DEF
419,MID
420,MID
421,FWD
422,DEF
423,MID
424,FWD
425,DEF
426,MID
427,GKP
428,MID
429,MID
430,FWD
431,MID
432,MID
433,MID
434,MID
435,MID
436,DEF
437,DEF
438,DEF
439,MID
440,DEF
441,DEF
442,MID
443,GKP
444,DEF
445,GKP
446,FWD
447,FWD
448,DEF
449,MID
450,MID
451,MID
452,MID
453,FWD
454,GKP
455,DEF
456,DEF
457,DEF
458,MID
459,MID
460,DEF
461,DEF
462,MID
463,MID
464,DEF
465,GKP
466,GKP
467,DEF
468,FWD
469,GKP
470,FWD
471,MID
472,DEF
473,FWD
474,DEF
475,DEF
476,DEF
477,DEF
478,DEF
479,GKP
480,MID
481,MID
482,MID
483,MID
484,DEF
485,MID
486,DEF
487,DEF
488,GKP
489,MID
490,MID
491,MID
492,MID
493,MID
494,MID
495,DEF
496,DEF
497,FWD
498,DEF
499,MID
500,FWD
501,MID
502,MID
503,MID
504,DEF
505,DEF
506,DEF
507,FWD
508,GKP
509,MID
510,GKP
511,MID
512,FWD
513,GKP
514,MID
515,MID
516,DEF
517,DEF
518,MID
519,MID
520,DEF
521,GKP
522,GKP
523,FWD
524,DEF
525,MID
526,MID
527,MID
528,DEF
529,DEF
530,MID
531,MID
532,DEF
533,DEF
534,MID
535,MID
536,GKP
537,MID
538,MID
539,FWD
540,MID
541,FWD
542,DEF
543,DEF
544,MID
545,FWD
546,FWD
547,MID
548,MID
549,DEF
550,MID
551,MID
552,DEF
553,MID
554,GKP
555,FWD
556,GKP
557,MID
558,DEF
559,DEF
560,MID
561,DEF
562,MID
563,MID
564,DEF
565,MID
566,FWD
567,DEF
568,GKP
569,MID
570,MID
571,MID
572,DEF
573,DEF
574,DEF
575,DEF
576,MID
577,MID
578,DEF
579,DEF
580,DEF
581,GKP
582,DEF
583,DEF
584,MID
585,MID
586,DEF
587,MID
588,MID
589,FWD
590,FWD
591,DEF
592,DEF
593,DEF
594,DEF
595,MID
596,DEF
597,GKP
598,MID
599,MID
600,MID
601,MID
602,MID
603,MID
604,MID
605,MID
606,MID
607,MID
608,MID
609,FWD
610,MID
611,MID
612,MID
613,MID
614,GKP
615,MID
616,DEF
617,FWD
618,MID
619,MID
620,MID
621,MID
622,MID
623,MID
624,GKP
625,MID
626,DEF
627,DEF
628,DEF
629,MID
630,DEF
631,MID
632,MID
633,MID
634,MID
635,MID
636,MID
637,DEF
638,MID
639,GKP
640,DEF
641,GKP
642,DEF
643,MID
644,MID
645,MID
646,MID
647,MID
648,FWD
649,DEF
650,DEF
651,MID
652,MID
653,DEF
654,MID
655,MID
656,MID
657,DEF
658,DEF
659,MID
660,MID
661,GKP
662,DEF
663,DEF
664,DEF
665,FWD
666,DEF
667,MID
668,GKP
669,GKP
670,DEF
671,MID
672,DEF
673,MID
674,MID
675,FWD
676,MID
677,DEF
678,DEF
679,MID
680,DEF
681,DEF
682,MID
683,DEF
684,MID
685,DEF
686,MID
687,DEF
688,DEF
689,MID
690,MID
691,DEF
692,DEF
693,MID
694,MID
695,MID
696,MID
697,DEF
698,FWD
699,DEF
700,DEF
701,MID
702,DEF
703,DEF
704,GKP
705,DEF
706,FWD
707,DEF
708,FWD
709,DEF
710,MID
711,DEF
712,DEF
713,DEF
714,MID
715,DEF
716,DEF
717,GKP
718,MID
719,DEF
720,DEF
721,GKP
722,FWD
723,MID
724,FWD
725,MID
726,DEF
727,GKP
728,MID
729,MID
730,MID
731,DEF
732,DEF
733,DEF
734,MID
735,FWD
736,GKP
737,DEF
738,MID
739,GKP
740,GKP
741,DEF
742,MID
743,DEF
744,GKP
745,MID
746,DEF
747,DEF
748,MID
749,DEF
750,MID
751,MID
752,MID
753,MID
754,DEF
755,MID
756,FWD
757,DEF
758,MID
759,MID
760,FWD
761,FWD
762,DEF
763,GKP
764,FWD
765,MID
766,DEF
767,DEF
768,GKP
769,FWD
770,MID
771,DEF
772,MID
773,MID
774,DEF
775,MID
776,DEF
777,MID
778,FWD
779,DEF
780,MID
781,DEF
782,DEF
783,MID
784,DEF
