,0
Fábio Vieira (ARS),ARS
G.Jesus (ARS),ARS
Gabriel (ARS),ARS
Havertz (ARS),ARS
Hein (ARS),ARS
J.Timber (ARS),ARS
Jorginho (ARS),ARS
Kiwior (ARS),ARS
Martinelli (ARS),ARS
Nelson (ARS),ARS
Nketiah (EVE),EVE
Nwaneri (ARS),ARS
Ødegaard (ARS),ARS
Ramsdale (SOU),SOU
Raya (ARS),ARS
Rice (ARS),ARS
Saka (ARS),ARS
Saliba (ARS),ARS
Smith Rowe (IPS),IPS
Thomas (ARS),ARS
Tierney (ARS),ARS
Tomiyasu (ARS),ARS
Trossard (ARS),ARS
White (ARS),ARS
Zinchenko (ARS),ARS
Alex Moreno (AVL),AVL
Archer (SOU),SOU
Bailey (AVL),AVL
Barkley (AVL),AVL
Barrenechea (AVL),AVL
Buendía (AVL),AVL
Cash (AVL),AVL
Dendoncker (AVL),AVL
Diaby (AVL),AVL
Diego Carlos (AVL),AVL
Digne (AVL),AVL
Dobbin (AVL),AVL
Duran (AVL),AVL
Gauci (AVL),AVL
Hause (AVL),AVL
Iling Jr (AVL),AVL
Kamara (AVL),AVL
Kesler-Hayden (AVL),AVL
Konsa (AVL),AVL
Maatsen (AVL),AVL
Marschall (AVL),AVL
Martinez (AVL),AVL
McGinn (AVL),AVL
Mings (AVL),AVL
Nedeljkovic (AVL),AVL
Olsen (AVL),AVL
Pau (AVL),AVL
J.Ramsey (AVL),AVL
Rogers (AVL),AVL
Sinisalo (AVL),AVL
Sousa (AVL),AVL
Tielemans (AVL),AVL
Watkins (AVL),AVL
Aarons (BOU),BOU
Adams (BRE),BRE
Anthony (BOU),BOU
Brooks (BRE),BRE
Christie (BRE),BRE
Cook (BRE),BRE
Enes Ünal (BRE),BRE
Faivre (BRE),BRE
H.Traorè (BRE),BRE
Hill (BRE),BRE
Jebbison (BOU),BOU
Kerkez (LIV),LIV
Kluivert (BRE),BRE
Mepham (BRE),BRE
Neto (BRE),BRE
O.Dango (BRE),BRE
Paulsen (BRE),BRE
Philip (BRE),BRE
Scott (BRE),BRE
Semenyo (BRE),BRE
Senesi (BRE),BRE
Sinisterra (BRE),BRE
Smith (BRE),BRE
Solanke (TOT),TOT
Tavernier (BRE),BRE
Travers (FUL),FUL
Zabarnyi (BRE),BRE
Ajer (BHA),BHA
Brierley (BRE),BRE
Collins (BHA),BHA
Damsgaard (BHA),BHA
Dasilva (BRE),BRE
Flekken (BRE),BRE
Henry (BHA),BHA
Hickey (BHA),BHA
Janelt (BHA),BHA
Jensen (BHA),BHA
Ji-soo (BHA),BHA
Konak (BHA),BHA
Lewis-Potter (BHA),BHA
Mbeumo (MUN),MUN
Mee (BRE),BRE
Nørgaard (ARS),ARS
Onyeka (BHA),BHA
Peart-Harris (BHA),BHA
Pinnock (BHA),BHA
Roerslev (BHA),BHA
Schade (BHA),BHA
Thiago (BHA),BHA
Toney (BRE),BRE
Valdimarsson (BHA),BHA
Wissa (BHA),BHA
Yarmoliuk (BHA),BHA
Zanka (BRE),BRE
Adingra (SOU),SOU
Baker-Boaitey (BHA),BHA
Baleba (CHE),CHE
Barco (BHA),BHA
Buonanotte (CHE),CHE
Cozier-Duberry (BHA),BHA
Dahoud (BHA),BHA
Dunk (CHE),CHE
Enciso (CHE),CHE
Estupiñan (CHE),CHE
Ferguson (CHE),CHE
Gilmour (BHA),BHA
Gross (BHA),BHA
Hinshelwood (CHE),CHE
I.Osman (BHA),BHA
Igor (CHE),CHE
João Pedro (CRY),CRY
Kozlowski (BHA),BHA
Lamptey (CHE),CHE
March (CHE),CHE
Mazilu (CHE),CHE
Milner (CHE),CHE
Minteh (CHE),CHE
Mitoma (CHE),CHE
Moder (BHA),BHA
O’Mahony (BHA),BHA
Offiah (BHA),BHA
Peupion (BHA),BHA
Sarmiento (CHE),CHE
Steele (CHE),CHE
Undav (BHA),BHA
Van Hecke (CHE),CHE
Veltman (CHE),CHE
Verbruggen (CHE),CHE
Webster (CHE),CHE
Welbeck (CHE),CHE
Wieffer (CHE),CHE
Andrey Santos (CRY),CRY
Ângelo (CHE),CHE
Arrizabalaga (ARS),ARS
B.Badiashile (CRY),CRY
Bergström (CHE),CHE
Bettinelli (MCI),MCI
Broja (EVE),EVE
Caicedo (CRY),CRY
Casadei (CHE),CHE
Chalobah (CRY),CRY
Chilwell (CRY),CRY
Chukwuemeka (CHE),CHE
Colwill (CRY),CRY
Cucurella (CRY),CRY
D.D.Fofana (CHE),CHE
Deivid (CHE),CHE
Dewsbury-Hall (CRY),CRY
Disasi (AVL),AVL
Enzo (CRY),CRY
Gallagher (CHE),CHE
Gilchrist (CHE),CHE
Gusto (CRY),CRY
James (CRY),CRY
Kellyman (CHE),CHE
Lavia (CRY),CRY
Lukaku (CHE),CHE
M.Sarr (CHE),CHE
Madueke (ARS),ARS
Marc Guiu (CRY),CRY
Mudryk (CRY),CRY
N.Jackson (CRY),CRY
Nkunku (CRY),CRY
Palmer (CRY),CRY
Petrović (BRE),BRE
Renato Veiga (CHE),CHE
Sánchez (CRY),CRY
Sterling (ARS),ARS
Tosin (CRY),CRY
Ugochukwu (SOU),SOU
Fofana (CRY),CRY
Ahamada (EVE),EVE
Andersen (IPS),IPS
J.Ayew (LEI),LEI
Doucouré (EVE),EVE
Richards (EVE),EVE
Chadi Riad (EVE),EVE
Clyne (EVE),EVE
Ebiowei (EVE),EVE
Édouard (EVE),EVE
Eze (EVE),EVE
Guéhi (EVE),EVE
Henderson (EVE),EVE
Holding (EVE),EVE
Hughes (EVE),EVE
Johnstone (WOL),WOL
Kamada (EVE),EVE
Lerma (EVE),EVE
Mateta (EVE),EVE
M.França (EVE),EVE
Matthews (EVE),EVE
Mitchell (EVE),EVE
Muñoz (EVE),EVE
Ozoh (EVE),EVE
J.Rak-Sakyi (EVE),EVE
Schlupp (CRY),CRY
Ward (CRY),CRY
Wharton (EVE),EVE
A.Doucoure (EVE),EVE
Beto (FUL),FUL
Branthwaite (FUL),FUL
Calvert-Lewin (EVE),EVE
Coleman (FUL),FUL
Gana (FUL),FUL
Garner (FUL),FUL
Harrison (LEI),LEI
Holgate (EVE),EVE
Iroegbunam (FUL),FUL
J.Virginia (EVE),EVE
Keane (FUL),FUL
Maupay (EVE),EVE
McNeil (FUL),FUL
Mykolenko (FUL),FUL
Ndiaye (FUL),FUL
Onana (AVL),AVL
Patterson (FUL),FUL
Pickford (FUL),FUL
Tarkowski (FUL),FUL
Y.Chermiti (FUL),FUL
Young (EVE),EVE
Adama (IPS),IPS
Andreas (IPS),IPS
Bassey (IPS),IPS
